n,seed,fractional,independent,rounded,certificate,effective_n,solver_residual
64,2,0.15345478718533032,0.17686003473834444,0.15422217134341742,0.17686003473834444,19.66927974221343,2.220446049250313e-16
64,3,0.14131548914481415,0.2139282157587295,0.16870251234456535,0.21392821575872953,5.838459553909633,2.220446049250313e-16
64,4,0.16372084339463258,0.1929605405466005,0.16519610742518373,0.19296054054660053,16.79779813146397,3.3306690738754696e-16
64,5,0.11594862207671211,0.15450434853951212,0.12333664068200989,0.15450434853951212,9.021898901729974,2.220446049250313e-16
64,6,0.14052164543865792,0.17829033222719382,0.14425130041493617,0.17829033222719382,11.161757851849206,2.220446049250313e-16
64,7,0.12703745147941553,0.1545502671566865,0.1294953074532923,0.15455026715668652,13.852175615493008,2.220446049250313e-16
64,8,0.21280753289895563,0.2802428237652369,0.21542329543192615,0.28024282376523696,9.467188329665678,2.220446049250313e-16
64,9,0.17215025455740304,0.20016246485775468,0.1722969369063678,0.20016246485775468,18.436630245694236,2.220446049250313e-16
64,10,0.1156402498137355,0.13451819093903067,0.1159737550351047,0.13451819093903067,18.37704372201676,2.220446049250313e-16
64,11,0.13570328879917956,0.16336638205040382,0.13622733635973094,0.16336638205040382,14.71671525307541,2.220446049250313e-16
64,12,0.1342398591004932,0.16266522847033094,0.13627100425587357,0.16266522847033094,14.167611054117272,2.220446049250313e-16
64,13,0.14717232114398976,0.1884131531091787,0.15072718314301253,0.18841315310917875,10.705820964151508,3.3306690738754696e-16
64,14,0.12140303972500541,0.17570977818637418,0.13991545869668331,0.17570977818637418,6.7065180029932625,2.220446049250313e-16
64,15,0.15266574687379855,0.23607678438144136,0.1849279780867184,0.23607678438144136,5.490846946717702,2.220446049250313e-16
64,16,0.1278728229495913,0.17759681619817147,0.14175589070342565,0.1775968161981715,7.71495698125027,2.220446049250313e-16
64,17,0.17338814823719784,0.22357630540209947,0.17881180791609907,0.22357630540209944,10.364286598579564,2.220446049250313e-16
64,18,0.13431823760224734,0.15737449086895716,0.13584402878980176,0.15737449086895716,17.477024915776596,2.220446049250313e-16
64,19,0.13001821061410257,0.17072761237867629,0.13650124297812274,0.17072761237867629,9.581438560508216,2.220446049250313e-16
