network,outage_size,outage,count,cer,diagonal,equal,robust,common
34,2,"0,2",0.16054648978497546,0.16181799360555915,0.16028114509467578,0.16044969294460987,0.1608335222085272,0.16237808852575603
34,2,"0,3",0.18675813269779568,0.18453048237134562,0.19202613254746287,0.1924215502925402,0.18757362020040647,0.176122920621218
34,2,"1,2",0.19575818601277462,0.18825660155921295,0.18858212245412778,0.18974806779279738,0.18830399642271672,0.18663209117137255
34,2,"1,3",0.2235883965526797,0.2230621393302926,0.22434048896177639,0.22434048896177639,0.22434048896177639,0.22289495705691498
34,2,"2,3",0.20081480008239252,0.19432241595763503,0.19533354413224158,0.19533354413224158,0.19432241595763503,0.1924105313987097
35,1,0,0.15670107157060925,0.14884594872075202,0.14890506323817765,0.1489398604499292,0.14884594872075202,0.14619819948932766
35,1,1,0.16376401247426242,0.16254063133344868,0.16254063133344868,0.16254063133344868,0.16254063133344868,0.15933931359208428
35,1,2,0.1380306160124533,0.13312442012832315,0.13386148606295686,0.1341025665360136,0.13312442012832315,0.1329451066276256
35,1,3,0.16564001840568018,0.16469969361308834,0.16470099649203804,0.16470099649203804,0.16470099649203804,0.1627930072323004
35,2,"0,1",0.15813311316701717,0.14990076041548628,0.14996589771783952,0.1501540998820187,0.14990076041548628,0.14535441350066147
35,2,"0,2",0.1258025031259707,0.12497938010878323,0.12414376077941817,0.12495682996894025,0.12467343183796699,0.1257277332473423
35,2,"0,3",0.1591352141594793,0.15459608618763482,0.15459608618763482,0.15459608618763482,0.15459608618763482,0.15152903877019946
35,2,"1,2",0.15698381416986024,0.13548832992181561,0.14016940586897486,0.14350422715096844,0.13548832992181561,0.1340310658157303
35,2,"1,3",0.1758893772797802,0.1751540528653277,0.17517402682785263,0.17517402682785263,0.17517402682785263,0.17470883832956735
35,2,"2,3",0.1603121387220091,0.14202187108913128,0.1461441332929561,0.1461441332929561,0.14478503148329974,0.13925308071520567
36,1,0,0.13616498252900666,0.1338862525241915,0.13410424752047828,0.13410424752047828,0.1338862525241915,0.13304712214295938
36,1,1,0.15454962762127739,0.1442407028215301,0.14863797433519968,0.15220118983368638,0.14421148043642631,0.14021321240264095
36,1,2,0.13391691856900179,0.13020323676263124,0.13209758384504605,0.13760069488104854,0.13040275838374507,0.12955767060813567
36,1,3,0.15073071275099742,0.14786567405611706,0.15199090040286983,0.15199090040286983,0.14787196792428975,0.14592523222715945
36,2,"0,1",0.15090651171706643,0.13401423664520068,0.13754185204098887,0.1414169896552374,0.13401423664520068,0.13261238224261745
36,2,"0,2",0.12264570408603657,0.12262664353333938,0.12260676374294793,0.122742371004585,0.12260223099941905,0.12268430317666329
36,2,"0,3",0.14512542322181243,0.14132154167537936,0.1469691443547748,0.1473642552357935,0.14467975395171814,0.13904232233184005
36,2,"1,2",0.1369168805418457,0.1321713856590707,0.13871463474070245,0.14153619940671944,0.1321713856590707,0.13094427648781629
36,2,"1,3",0.17284422446441716,0.17103157981170647,0.17206192818186955,0.17206192818186955,0.17206192818186955,0.17083009234574292
36,2,"2,3",0.1477073313950858,0.14027884946034647,0.14578630982849072,0.1461336876484381,0.1421463956252757,0.13598587375879834
37,1,0,0.09297560310001647,0.09085584828244797,0.09226368353587464,0.09318655761213646,0.09085584828244797,0.09036996157398129
37,1,1,0.10100978646935063,0.09901744338040662,0.10249286921048886,0.10367764033837452,0.09900993468359287,0.09615644240235374
37,1,2,0.09492068182333901,0.0910790673874202,0.09328092925365467,0.09520817577591165,0.0910790673874202,0.09066583578387807
37,1,3,0.1068420117484754,0.10293142531391299,0.10756865119636284,0.10810111105465697,0.10312533213161514,0.10020593998322644
37,2,"0,1",0.09567601285354711,0.09313801104009148,0.09608408393131579,0.09893005405471544,0.09313801104009148,0.09111784017383273
37,2,"0,2",0.08612988264807722,0.08600259092877412,0.08592716271599485,0.08605100100834062,0.08600259092877412,0.0862303933320909
37,2,"0,3",0.10354287921988958,0.09813622288047166,0.10330479027731723,0.10392140053147843,0.10069126556052033,0.09551334145155642
37,2,"1,2",0.09882801882952327,0.09376008000723413,0.09693958327799698,0.099393770015056,0.09376008000723413,0.09184901322573763
37,2,"1,3",0.12100287707833171,0.11982226231537127,0.12065760951195849,0.12065760951195849,0.12064182704813557,0.1195531922039837
37,2,"2,3",0.10126599076667159,0.09865114902617017,0.10235661320757398,0.10252916987369953,0.10066618971493405,0.0954004454113781
38,1,0,0.11434908266567143,0.11142194118782994,0.11423125960391524,0.11503911267712019,0.11146676799084931,0.11089679546027195
38,1,1,0.12433866042205913,0.12211371170262122,0.12507030928612312,0.13050018529542587,0.12201513231050944,0.11833677426569321
38,1,2,0.11586062646427264,0.11466768581801828,0.11528326744223744,0.11689506467701685,0.11466768581801828,0.11414021251719161
38,1,3,0.1260090275115729,0.12474063664166522,0.1309378817061323,0.1309378817061323,0.12626223664231617,0.12329764497395514
38,2,"0,1",0.12511524771781596,0.11305740903996819,0.11956601541437795,0.12331277700497142,0.11305740903996819,0.11193365973087013
38,2,"0,2",0.10795451091408684,0.1069638951226108,0.10697167930126941,0.10705399340630792,0.1069638951226108,0.10693371521117939
38,2,"0,3",0.12521452286814128,0.12164997745871069,0.12726444190261,0.12921728075276478,0.12518652152003198,0.11706402090979898
38,2,"1,2",0.12799963842380846,0.11654237192125894,0.12045284197429212,0.12419005930180171,0.11654237192125894,0.11480526823753054
38,2,"1,3",0.15015174744437493,0.14865995906845225,0.14993677176702191,0.14993677176702191,0.14992969580778998,0.14855876947330937
38,2,"2,3",0.12734399543656216,0.1222555161071154,0.12746994193777111,0.12815866536820852,0.12472238311412284,0.1192787555492463
39,1,0,0.10724211705558025,0.10421130249349905,0.10713008384849737,0.10832723457765545,0.10421064811829275,0.10377202365894872
39,1,1,0.11550939504282931,0.11337337483249849,0.1180963702186648,0.12023199298004597,0.11336310764901092,0.11129047781091628
39,1,2,0.1079975178978825,0.1069536408404736,0.10787835140519486,0.10837124796098047,0.1069536408404736,0.106057526568611
39,1,3,0.12144034342954352,0.11904092048774678,0.12484393669677304,0.12546557250605228,0.11980078730262979,0.11589392840690468
39,2,"0,1",0.115538694001448,0.10627671580873986,0.11111366077371063,0.1146198313874473,0.10627511212424462,0.10498045256684019
39,2,"0,2",0.09971601875550837,0.09981370831129419,0.09965623532210442,0.09979505249307441,0.09979115502675462,0.10008021078184952
39,2,"0,3",0.11655738592628383,0.11375175035843604,0.11935799226571342,0.12018625373978623,0.11675131269197082,0.10990336030242175
39,2,"1,2",0.11479345313840292,0.10922077265310193,0.11275827698203349,0.1153607907205198,0.10922077265310193,0.10714637307324386
39,2,"1,3",0.14092833538210814,0.1387888298240256,0.13989519164372716,0.13989519164372716,0.13989519164372716,0.13861208678604126
39,2,"2,3",0.12076408425362094,0.11472290575638425,0.11884706921828803,0.11924653970231025,0.11681634175223184,0.11127933879219457
40,1,0,0.07325152623652945,0.07115157636886169,0.07126867950136051,0.07146044898147799,0.07115157636886169,0.07056037408349158
40,1,1,0.07940332612421575,0.07765207955391043,0.07813320660978608,0.07804118423703937,0.07765207955391043,0.0756106494775364
40,1,2,0.0665968742261318,0.0657978880028892,0.06608082446877943,0.06680161847920617,0.0657978880028892,0.06559605602971215
40,1,3,0.08112535321481856,0.07937119808296408,0.07963558982811489,0.07963558982811489,0.07939855193504969,0.07786409069889286
40,2,"0,1",0.07554824111850574,0.0721785012089285,0.07230786265676747,0.07281204596900653,0.0721785012089285,0.07037005049413009
40,2,"0,2",0.06269933142651525,0.06202162015504521,0.06168564719392486,0.06175044447096294,0.06180504833408286,0.06227796545238531
40,2,"0,3",0.07674113988602184,0.0750222847329351,0.07583817339231028,0.07583817339231028,0.07515613573588514,0.07342779236550043
40,2,"1,2",0.06860488977962803,0.06745940526297126,0.06934204667171179,0.070029488829696,0.06745940526297126,0.06621622167177019
40,2,"1,3",0.0872128234799095,0.08677331997353241,0.08692425019145086,0.08692425019145086,0.08692425019145086,0.0864592821577741
40,2,"2,3",0.07791832047159394,0.07055800583581304,0.07213612407319774,0.07234562443923737,0.07116100412754972,0.06875208720940579
41,1,0,0.1267595299103731,0.12532790908242547,0.12617548958571057,0.1265761159575182,0.12531602522894092,0.12459369299222348
41,1,1,0.14325332616423617,0.1365561639689555,0.13849774765509862,0.13958671716137572,0.13653314340348127,0.13499699382491082
